;post_time;user;gender;followers;awards;day_difference;video;likes;comments;carousel;post_images;length_caption;number_hashtags;publication_weekday;IM_performance
49;2023-12-24_13-54-51_UTC;user001;F;12721;1;43;0;613;20;1;4;1175;5;Sunday;Backstage
50;2023-12-26_15-43-55_UTC;user001;F;12721;1;41;0;602;8;1;6;805;1;Tuesday;Backstage
51;2023-12-26_22-12-47_UTC;user001;F;12721;1;41;0;293;11;1;10;1332;1;Tuesday;Frontstage
52;2023-12-27_15-31-33_UTC;user001;F;12721;1;40;0;1381;30;1;7;1595;4;Wednesday;Backstage
53;2023-12-28_22-08-22_UTC;user001;F;12721;1;39;0;828;23;1;5;474;1;Thursday;Backstage
54;2023-12-31_00-24-23_UTC;user001;F;12721;1;36;1;296;10;0;1;676;5;Sunday;Backstage
55;2024-01-06_11-42-38_UTC;user001;F;12721;1;30;0;211;10;0;1;614;0;Saturday;Offstage
56;2024-01-08_18-26-08_UTC;user001;F;12721;1;28;1;1114;46;0;1;374;5;Monday;Frontstage
57;2024-01-11_12-27-04_UTC;user001;F;12721;1;25;1;342;6;0;1;457;10;Thursday;Backstage
58;2024-01-12_14-33-46_UTC;user001;F;12721;1;24;1;237;1;0;1;859;8;Friday;Backstage
59;2024-01-19_17-12-53_UTC;user001;F;12721;1;17;0;748;39;1;6;205;1;Friday;Backstage
60;2024-01-24_14-32-27_UTC;user001;F;12721;1;12;1;203;2;0;1;847;8;Wednesday;Backstage
61;2024-01-27_12-53-50_UTC;user001;F;12721;1;9;1;514;31;0;1;554;1;Saturday;Frontstage
62;2024-02-04_14-46-50_UTC;user001;F;12721;1;1;0;268;16;1;3;727;3;Sunday;Offstage
63;2023-02-13_22-26-08_UTC;user002;F;183588;1;357;1;13761;384;0;1;66;1;Monday;Frontstage
64;2023-02-14_15-28-11_UTC;user002;F;183588;1;356;1;3686;150;0;1;119;1;Tuesday;Frontstage
65;2023-06-19_22-50-33_UTC;user002;F;183588;1;231;0;1937;48;1;7;229;1;Monday;Backstage
66;2023-06-24_16-40-41_UTC;user002;F;183588;1;226;0;1225;32;1;5;21;1;Saturday;Backstage
67;2023-11-04_17-23-36_UTC;user002;F;183588;1;93;0;4625;207;1;10;777;2;Saturday;Frontstage
68;2023-11-04_23-22-54_UTC;user002;F;183588;1;93;0;1109;31;1;5;112;1;Saturday;Backstage
69;2023-11-10_23-59-40_UTC;user002;F;183588;1;87;0;8491;277;1;4;169;3;Friday;Frontstage
70;2023-11-11_16-38-09_UTC;user002;F;183588;1;86;0;5662;279;0;1;144;1;Saturday;Backstage
71;2023-12-14_17-34-15_UTC;user002;F;183588;1;53;0;4641;142;0;1;198;3;Thursday;Frontstage
72;2023-12-29_02-58-20_UTC;user002;F;183588;1;38;0;1752;38;1;4;51;1;Friday;Backstage
73;2023-12-30_03-58-56_UTC;user002;F;183588;1;37;0;624;25;1;10;89;1;Saturday;Backstage
74;2024-01-28_04-02-44_UTC;user002;F;183588;1;8;0;1979;47;1;7;5;1;Sunday;Backstage
75;2024-02-04_22-49-37_UTC;user002;F;183588;1;1;1;24483;1856;0;1;237;1;Sunday;Frontstage
76;2023-02-17_18-21-22_UTC;user003;M;2688888;1;353;1;199004;2497;0;1;48;1;Friday;Frontstage
77;2023-03-29_00-29-03_UTC;user003;M;2688888;1;313;0;62096;235;0;1;183;1;Wednesday;Backstage
78;2023-04-10_18-59-05_UTC;user003;M;2688888;1;301;0;77871;169;0;1;52;1;Monday;Backstage
79;2023-04-17_20-34-30_UTC;user003;M;2688888;1;294;0;5797;6;0;1;0;1;Monday;Backstage
80;2023-04-17_20-34-42_UTC;user003;M;2688888;1;294;0;5293;13;0;1;0;0;Monday;Backstage
81;2023-04-17_20-34-50_UTC;user003;M;2688888;1;294;0;7265;12;0;1;0;1;Monday;Backstage
82;2023-04-17_20-35-04_UTC;user003;M;2688888;1;294;0;8845;19;0;1;0;1;Monday;Backstage
83;2023-04-17_20-35-16_UTC;user003;M;2688888;1;294;0;27442;92;0;1;0;1;Monday;Backstage
84;2023-04-17_20-35-24_UTC;user003;M;2688888;1;294;0;14831;35;0;1;0;1;Monday;Backstage
85;2023-05-05_19-09-40_UTC;user003;M;2688888;1;276;0;91661;187;0;1;141;1;Friday;Backstage
86;2023-05-11_00-27-26_UTC;user003;M;2688888;1;270;0;50154;173;0;1;110;2;Thursday;Backstage
87;2023-06-06_19-07-53_UTC;user003;M;2688888;1;244;0;33453;151;0;1;115;1;Tuesday;Frontstage
88;2023-06-18_17-06-24_UTC;user003;M;2688888;1;232;0;64718;252;0;1;75;1;Sunday;Backstage
89;2023-07-21_15-47-44_UTC;user003;M;2688888;1;199;0;53156;194;0;1;147;1;Friday;Backstage
90;2023-08-09_23-46-07_UTC;user003;M;2688888;1;180;0;71517;493;1;3;283;1;Wednesday;Backstage
91;2023-08-10_23-16-27_UTC;user003;M;2688888;1;179;1;39811;614;0;1;188;1;Thursday;Offstage
92;2023-08-11_23-09-06_UTC;user003;M;2688888;1;178;0;13898;111;0;1;185;0;Friday;Backstage
93;2023-08-13_20-55-25_UTC;user003;M;2688888;1;176;1;7004;60;1;3;0;0;Sunday;Offstage
94;2023-11-02_20-27-39_UTC;user003;M;2688888;1;95;1;89849;1132;0;1;153;1;Thursday;Offstage
95;2023-11-07_23-10-18_UTC;user003;M;2688888;1;90;1;10863;58;0;1;124;1;Tuesday;Backstage
96;2023-11-23_00-42-21_UTC;user003;M;2688888;1;74;1;14562;143;0;1;189;1;Thursday;Offstage
97;2023-11-29_23-18-52_UTC;user003;M;2688888;1;68;0;10282;96;0;1;88;1;Wednesday;Backstage
98;2023-12-11_17-51-59_UTC;user003;M;2688888;1;56;0;4256;34;0;1;82;0;Monday;Backstage
99;2023-12-12_21-37-21_UTC;user003;M;2688888;1;55;0;96968;473;0;1;168;1;Tuesday;Backstage
100;2023-12-13_00-00-35_UTC;user003;M;2688888;1;54;1;10786;77;1;3;103;1;Wednesday;Offstage
101;2024-01-28_03-23-27_UTC;user003;M;2688888;1;8;1;6737;69;0;1;63;0;Sunday;Backstage
102;2023-02-06_20-47-27_UTC;user004;M;22016;1;364;0;89;9;0;1;156;9;Monday;Offstage
103;2023-02-09_00-09-54_UTC;user004;M;22016;1;361;1;124;11;0;1;362;9;Thursday;Backstage
104;2023-02-09_18-08-19_UTC;user004;M;22016;1;361;1;66;18;0;1;161;5;Thursday;Offstage
105;2023-02-13_17-11-11_UTC;user004;M;22016;1;357;1;346;24;0;1;726;11;Monday;Offstage
106;2023-02-17_18-37-39_UTC;user004;M;22016;1;353;1;67;3;0;1;629;7;Friday;Frontstage
107;2023-02-17_22-15-42_UTC;user004;M;22016;1;353;0;51;0;0;1;562;8;Friday;Offstage
108;2023-02-18_16-15-40_UTC;user004;M;22016;1;352;1;26;4;0;1;188;2;Saturday;Offstage
109;2023-02-19_13-23-43_UTC;user004;M;22016;1;351;1;126;9;0;1;461;20;Sunday;Offstage
110;2023-02-19_23-44-06_UTC;user004;M;22016;1;351;1;47;8;0;1;171;5;Sunday;Frontstage
111;2023-02-20_19-36-02_UTC;user004;M;22016;1;350;1;46;3;0;1;561;5;Monday;Offstage
112;2023-02-22_01-17-39_UTC;user004;M;22016;1;348;1;54;5;0;1;466;7;Wednesday;Frontstage
113;2023-02-22_16-58-45_UTC;user004;M;22016;1;348;0;49;0;0;1;389;15;Wednesday;Offstage
114;2023-02-22_20-57-32_UTC;user004;M;22016;1;348;0;272;10;0;1;66;2;Wednesday;Frontstage
115;2023-02-27_03-02-19_UTC;user004;M;22016;1;343;1;46;0;0;1;625;4;Monday;Backstage
116;2023-03-02_23-10-50_UTC;user004;M;22016;1;340;0;507;209;1;6;1032;0;Thursday;Offstage
117;2023-03-03_20-03-05_UTC;user004;M;22016;1;339;1;199;16;0;1;298;6;Friday;Backstage
118;2023-03-04_21-22-57_UTC;user004;M;22016;1;338;1;57;0;0;1;293;2;Saturday;Frontstage
119;2023-03-05_23-26-26_UTC;user004;M;22016;1;337;1;139;10;0;1;514;5;Sunday;Backstage
120;2023-03-06_17-08-22_UTC;user004;M;22016;1;336;1;52;6;0;1;100;1;Monday;Frontstage
121;2023-03-07_17-23-34_UTC;user004;M;22016;1;335;0;51;0;1;5;31;1;Tuesday;Offstage
122;2023-03-08_00-06-52_UTC;user004;M;22016;1;334;1;85;19;0;1;1751;3;Wednesday;Backstage
123;2023-03-09_03-38-48_UTC;user004;M;22016;1;333;1;66;6;0;1;1311;14;Thursday;Offstage
124;2023-03-10_16-45-26_UTC;user004;M;22016;1;332;1;184;25;0;1;723;17;Friday;Frontstage
125;2023-03-11_20-34-52_UTC;user004;M;22016;1;331;1;47;6;0;1;367;5;Saturday;Backstage
126;2023-03-13_20-51-32_UTC;user004;M;22016;1;329;1;94;20;0;1;75;1;Monday;Backstage
127;2023-03-15_15-30-34_UTC;user004;M;22016;1;327;1;71;18;0;1;110;5;Wednesday;Frontstage
128;2023-03-16_22-16-26_UTC;user004;M;22016;1;326;1;22;5;0;1;520;3;Thursday;Offstage
129;2023-03-19_18-35-35_UTC;user004;M;22016;1;323;1;76;4;0;1;78;3;Sunday;Offstage
130;2023-03-20_22-40-00_UTC;user004;M;22016;1;322;1;45;0;0;1;203;6;Monday;Offstage
131;2023-03-22_02-09-18_UTC;user004;M;22016;1;320;1;34;0;0;1;79;3;Wednesday;Backstage
132;2023-03-22_22-00-00_UTC;user004;M;22016;1;320;1;56;0;0;1;89;4;Wednesday;Backstage
133;2023-03-24_00-42-56_UTC;user004;M;22016;1;318;1;85;2;0;1;93;4;Friday;Backstage
134;2023-03-25_00-46-30_UTC;user004;M;22016;1;317;1;56;6;0;1;104;5;Saturday;Backstage
135;2023-03-25_02-06-48_UTC;user004;M;22016;1;317;1;123;25;0;1;9;1;Saturday;Backstage
136;2023-03-25_18-09-44_UTC;user004;M;22016;1;317;1;73;17;0;1;378;3;Saturday;Backstage
137;2023-03-29_21-19-40_UTC;user004;M;22016;1;313;1;20;0;0;1;81;5;Wednesday;Backstage
138;2023-03-30_22-10-16_UTC;user004;M;22016;1;312;1;298;104;0;1;247;3;Thursday;Backstage
139;2023-03-31_15-25-22_UTC;user004;M;22016;1;311;1;50;5;0;1;174;4;Friday;Backstage
140;2023-04-01_19-58-37_UTC;user004;M;22016;1;310;1;68;12;0;1;153;2;Saturday;Backstage
141;2023-04-03_00-10-15_UTC;user004;M;22016;1;308;0;117;4;1;2;526;3;Monday;Backstage
142;2023-04-04_22-17-39_UTC;user004;M;22016;1;307;1;35;0;0;1;21;1;Tuesday;Frontstage
143;2023-04-06_17-29-59_UTC;user004;M;22016;1;305;1;145;16;0;1;556;5;Thursday;Frontstage
144;2023-04-07_20-20-48_UTC;user004;M;22016;1;304;1;60;9;0;1;178;0;Friday;Offstage
145;2023-04-10_23-28-37_UTC;user004;M;22016;1;301;1;47;2;0;1;155;5;Monday;Backstage
146;2023-04-12_00-12-41_UTC;user004;M;22016;1;299;1;162;23;0;1;572;5;Wednesday;Offstage
147;2023-04-12_14-58-02_UTC;user004;M;22016;1;299;1;130;13;0;1;399;3;Wednesday;Backstage
148;2023-04-14_22-53-02_UTC;user004;M;22016;1;297;1;28;0;0;1;88;1;Friday;Offstage
149;2023-04-16_18-01-12_UTC;user004;M;22016;1;295;1;150;21;0;1;560;1;Sunday;Offstage
150;2023-04-18_00-07-45_UTC;user004;M;22016;1;293;1;49;0;0;1;135;1;Tuesday;Backstage
151;2023-04-18_21-06-36_UTC;user004;M;22016;1;293;1;28;2;0;1;49;1;Tuesday;Offstage
152;2023-04-19_05-12-27_UTC;user004;M;22016;1;292;1;36;2;0;1;49;1;Wednesday;Backstage
153;2023-04-19_23-01-11_UTC;user004;M;22016;1;292;1;100;15;0;1;411;3;Wednesday;Backstage
154;2023-04-20_22-21-42_UTC;user004;M;22016;1;291;0;206;94;1;2;234;2;Thursday;Offstage
155;2023-04-20_22-39-04_UTC;user004;M;22016;1;291;1;83;4;0;1;59;2;Thursday;Backstage
156;2023-04-22_20-42-16_UTC;user004;M;22016;1;289;0;45;4;0;1;528;3;Saturday;Backstage
157;2023-04-23_19-58-32_UTC;user004;M;22016;1;288;1;91;8;0;1;704;14;Sunday;Offstage
158;2023-04-24_01-56-15_UTC;user004;M;22016;1;287;1;66;4;0;1;199;1;Monday;Backstage
159;2023-04-24_18-44-05_UTC;user004;M;22016;1;287;0;142;2;1;9;90;1;Monday;Frontstage
160;2023-04-27_21-40-46_UTC;user004;M;22016;1;284;1;142;7;0;1;269;4;Thursday;Backstage
161;2023-04-28_13-00-37_UTC;user004;M;22016;1;283;1;132;6;0;1;312;3;Friday;Backstage
162;2023-04-28_20-42-54_UTC;user004;M;22016;1;283;0;40;3;1;7;410;1;Friday;Backstage
163;2023-04-29_19-05-58_UTC;user004;M;22016;1;282;0;408;14;1;3;205;1;Saturday;Backstage
164;2023-05-02_16-52-06_UTC;user004;M;22016;1;279;0;52;1;0;1;110;1;Tuesday;Backstage
165;2023-05-02_20-57-31_UTC;user004;M;22016;1;279;1;85;10;0;1;95;1;Tuesday;Backstage
166;2023-05-07_12-52-31_UTC;user004;M;22016;1;274;1;196;12;0;1;371;2;Sunday;Frontstage
167;2023-05-08_13-05-42_UTC;user004;M;22016;1;273;1;103;12;0;1;261;1;Monday;Backstage
168;2023-05-09_14-00-00_UTC;user004;M;22016;1;272;0;70;4;1;5;284;1;Tuesday;Offstage
169;2023-05-09_22-09-38_UTC;user004;M;22016;1;272;1;49;3;0;1;110;1;Tuesday;Offstage
170;2023-05-10_19-54-09_UTC;user004;M;22016;1;271;1;64;10;0;1;380;2;Wednesday;Frontstage
171;2023-05-11_13-36-10_UTC;user004;M;22016;1;270;1;68;8;0;1;893;7;Thursday;Offstage
172;2023-05-14_17-28-39_UTC;user004;M;22016;1;267;0;83;8;1;2;151;2;Sunday;Backstage
173;2023-05-15_19-31-41_UTC;user004;M;22016;1;266;1;75;6;0;1;104;1;Monday;Backstage
174;2023-05-17_04-03-10_UTC;user004;M;22016;1;264;1;46;0;0;1;37;1;Wednesday;Offstage
175;2023-05-17_20-35-24_UTC;user004;M;22016;1;264;1;60;2;0;1;2071;6;Wednesday;Offstage
176;2023-05-19_01-12-41_UTC;user004;M;22016;1;262;1;136;16;0;1;521;1;Friday;Backstage
177;2023-05-19_22-16-31_UTC;user004;M;22016;1;262;0;225;0;1;2;277;2;Friday;Backstage
178;2023-05-20_23-55-28_UTC;user004;M;22016;1;261;1;113;5;0;1;203;3;Saturday;Offstage
179;2023-05-22_21-40-31_UTC;user004;M;22016;1;259;0;81;2;0;1;72;1;Monday;Frontstage
180;2023-05-24_18-20-17_UTC;user004;M;22016;1;257;1;119;6;0;1;180;3;Wednesday;Backstage
181;2023-05-27_03-28-30_UTC;user004;M;22016;1;254;1;61;0;0;1;628;5;Saturday;Offstage
182;2023-05-27_22-27-01_UTC;user004;M;22016;1;254;1;75;5;0;1;165;1;Saturday;Frontstage
183;2023-06-02_02-30-21_UTC;user004;M;22016;1;248;1;228;32;0;1;106;5;Friday;Backstage
184;2023-06-02_16-10-35_UTC;user004;M;22016;1;248;1;48;4;0;1;272;4;Friday;Offstage
185;2023-06-09_20-59-06_UTC;user004;M;22016;1;241;1;73;3;0;1;1624;4;Friday;Backstage
186;2023-06-16_01-08-32_UTC;user004;M;22016;1;234;1;38;0;0;1;221;2;Friday;Backstage
187;2023-06-18_18-38-54_UTC;user004;M;22016;1;232;1;205;10;0;1;259;2;Sunday;Backstage
188;2023-06-22_00-29-28_UTC;user004;M;22016;1;228;1;82;13;0;1;368;4;Thursday;Backstage
189;2023-06-23_20-09-49_UTC;user004;M;22016;1;227;1;331;74;0;1;405;1;Friday;Offstage
190;2023-06-28_16-56-03_UTC;user004;M;22016;1;222;1;43;3;0;1;1785;12;Wednesday;Offstage
191;2023-06-29_00-12-52_UTC;user004;M;22016;1;221;1;89;2;0;1;428;2;Thursday;Backstage
192;2023-06-30_00-51-26_UTC;user004;M;22016;1;220;1;473;122;0;1;1096;1;Friday;Backstage
193;2023-07-03_17-25-43_UTC;user004;M;22016;1;217;1;93;20;0;1;372;1;Monday;Backstage
194;2023-07-04_00-22-51_UTC;user004;M;22016;1;216;1;76;14;0;1;358;2;Tuesday;Backstage
195;2023-07-06_04-19-10_UTC;user004;M;22016;1;214;1;25;3;0;1;106;1;Thursday;Offstage
196;2023-07-06_18-35-02_UTC;user004;M;22016;1;214;1;30;2;0;1;1095;4;Thursday;Backstage
197;2023-07-06_20-37-14_UTC;user004;M;22016;1;214;1;62;8;0;1;317;3;Thursday;Backstage
198;2023-07-07_02-20-34_UTC;user004;M;22016;1;213;0;241;17;1;5;182;2;Friday;Backstage
199;2023-07-11_21-06-35_UTC;user004;M;22016;1;209;1;83;2;0;1;375;1;Tuesday;Backstage
200;2023-07-14_16-31-03_UTC;user004;M;22016;1;206;1;58;2;0;1;138;1;Friday;Backstage
201;2023-07-17_23-32-33_UTC;user004;M;22016;1;203;1;236;41;0;1;135;1;Monday;Backstage
202;2023-07-18_20-08-15_UTC;user004;M;22016;1;202;1;45;2;0;1;187;1;Tuesday;Frontstage
203;2023-07-21_16-29-39_UTC;user004;M;22016;1;199;1;36;7;0;1;828;5;Friday;Backstage
204;2023-07-22_17-01-20_UTC;user004;M;22016;1;198;1;20;4;0;1;101;1;Saturday;Backstage
205;2023-07-23_00-02-04_UTC;user004;M;22016;1;197;1;368;82;0;1;9;0;Sunday;Frontstage
206;2023-07-24_17-08-18_UTC;user004;M;22016;1;196;1;36;6;0;1;163;1;Monday;Backstage
207;2023-07-28_14-22-48_UTC;user004;M;22016;1;192;1;53;12;0;1;700;8;Friday;Offstage
208;2023-07-28_22-22-16_UTC;user004;M;22016;1;192;0;336;36;0;1;131;0;Friday;Backstage
209;2023-07-29_19-13-16_UTC;user004;M;22016;1;191;1;55;2;0;1;378;2;Saturday;Backstage
210;2023-07-30_12-01-54_UTC;user004;M;22016;1;190;1;99;12;0;1;527;2;Sunday;Offstage
211;2023-08-07_16-19-32_UTC;user004;M;22016;1;182;1;155;4;0;1;268;3;Monday;Backstage
212;2023-08-08_18-56-12_UTC;user004;M;22016;1;181;1;45;44;0;1;265;1;Tuesday;Backstage
213;2023-08-09_21-31-57_UTC;user004;M;22016;1;180;1;171;11;0;1;285;1;Wednesday;Frontstage
214;2023-08-10_02-25-49_UTC;user004;M;22016;1;179;1;176;8;0;1;578;11;Thursday;Offstage
215;2023-08-10_15-26-06_UTC;user004;M;22016;1;179;1;111;6;0;1;827;5;Thursday;Backstage
216;2023-08-13_00-02-45_UTC;user004;M;22016;1;176;1;141;6;0;1;409;3;Sunday;Frontstage
217;2023-08-14_01-28-11_UTC;user004;M;22016;1;175;0;122;6;0;1;555;9;Monday;Backstage
218;2023-08-15_12-00-20_UTC;user004;M;22016;1;174;0;138;12;0;1;433;8;Tuesday;Offstage
219;2023-08-15_20-31-13_UTC;user004;M;22016;1;174;1;68;10;0;1;170;1;Tuesday;Backstage
220;2023-08-17_15-02-25_UTC;user004;M;22016;1;172;1;36;1;0;1;68;1;Thursday;Backstage
221;2023-08-17_15-57-54_UTC;user004;M;22016;1;172;1;81;2;0;1;421;10;Thursday;Backstage
222;2023-08-20_16-02-12_UTC;user004;M;22016;1;169;0;207;31;1;2;1108;0;Sunday;Frontstage
223;2023-08-21_11-11-12_UTC;user004;M;22016;1;168;1;129;14;0;1;231;4;Monday;Backstage
224;2023-08-22_19-51-44_UTC;user004;M;22016;1;167;1;44;2;0;1;329;4;Tuesday;Backstage
225;2023-08-25_16-01-33_UTC;user004;M;22016;1;164;1;151;22;0;1;197;6;Friday;Backstage
226;2023-08-26_15-52-51_UTC;user004;M;22016;1;163;1;48;14;0;1;687;1;Saturday;Frontstage
227;2023-08-26_21-27-35_UTC;user004;M;22016;1;163;0;181;10;0;1;203;5;Saturday;Backstage
228;2023-08-28_18-10-52_UTC;user004;M;22016;1;161;1;169;19;0;1;271;2;Monday;Backstage
229;2023-08-30_11-18-38_UTC;user004;M;22016;1;159;1;137;20;0;1;610;8;Wednesday;Backstage
230;2023-08-31_00-15-09_UTC;user004;M;22016;1;158;1;72;4;0;1;581;7;Thursday;Backstage
231;2023-08-31_16-32-04_UTC;user004;M;22016;1;158;1;35;8;0;1;256;2;Thursday;Backstage
232;2023-09-01_23-16-07_UTC;user004;M;22016;1;157;1;608;136;1;2;343;5;Friday;Offstage
233;2023-09-02_18-21-10_UTC;user004;M;22016;1;156;1;93;12;0;1;147;4;Saturday;Backstage
234;2023-09-02_22-06-37_UTC;user004;M;22016;1;156;0;80;5;0;1;337;5;Saturday;Offstage
235;2023-09-05_20-24-19_UTC;user004;M;22016;1;153;0;42;5;1;3;369;1;Tuesday;Backstage
236;2023-09-11_18-34-11_UTC;user004;M;22016;1;147;0;19;0;0;1;335;1;Monday;Frontstage
237;2023-09-13_00-02-40_UTC;user004;M;22016;1;145;1;59;7;0;1;220;1;Wednesday;Backstage
238;2023-09-14_16-50-48_UTC;user004;M;22016;1;144;1;236;23;0;1;243;7;Thursday;Frontstage
239;2023-09-14_22-52-58_UTC;user004;M;22016;1;144;1;66;4;0;1;296;6;Thursday;Backstage
240;2023-09-15_20-35-24_UTC;user004;M;22016;1;143;1;27;0;0;1;290;7;Friday;Offstage
241;2023-09-17_15-58-35_UTC;user004;M;22016;1;141;0;21;7;0;1;634;4;Sunday;Offstage
242;2023-09-18_18-18-33_UTC;user004;M;22016;1;140;0;13;0;0;1;259;1;Monday;Frontstage
243;2023-09-18_22-33-58_UTC;user004;M;22016;1;140;0;60;3;0;1;95;0;Monday;Offstage
244;2023-09-22_01-33-43_UTC;user004;M;22016;1;136;1;82;8;0;1;405;5;Friday;Backstage
245;2023-09-23_18-09-10_UTC;user004;M;22016;1;135;1;81;4;0;1;426;7;Saturday;Backstage
246;2023-09-25_16-32-14_UTC;user004;M;22016;1;133;1;40;2;0;1;145;1;Monday;Backstage
247;2023-09-25_18-24-04_UTC;user004;M;22016;1;133;1;92;10;0;1;155;2;Monday;Backstage
248;2023-09-30_13-55-45_UTC;user004;M;22016;1;128;1;89;4;0;1;168;2;Saturday;Backstage
249;2023-10-02_14-46-51_UTC;user004;M;22016;1;126;1;74;9;0;1;402;4;Monday;Backstage
